"ConditionName","ConditionSNOMED","PathogenName","PathogenTaxonID","Fatalities","CountryName","CountryISO","Admin1Name","Admin1ISO","Admin2Name","CityName","PeriodStartDate","PeriodEndDate","PartOfCumulativeCountSeries","AgeRange","Subpopulation","PlaceOfAcquisition","DiagnosisCertainty","SourceName","CountValue"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1995-07-01","1995-07-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","207"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1995-08-01","1995-08-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","164"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1995-09-01","1995-09-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","112"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1995-10-01","1995-10-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","98"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1995-11-01","1995-11-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","113"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1995-12-01","1995-12-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","102"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1996-01-01","1996-01-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","85"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1996-02-01","1996-02-29","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","47"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1996-03-01","1996-03-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","32"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1996-04-01","1996-04-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","38"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1996-05-01","1996-05-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","90"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1996-06-01","1996-06-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","121"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1996-07-01","1996-07-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","226"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1996-08-01","1996-08-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","271"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1996-09-01","1996-09-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","238"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1996-10-01","1996-10-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","48"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1996-11-01","1996-11-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","176"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1996-12-01","1996-12-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","143"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1997-01-01","1997-01-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","127"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1997-02-01","1997-02-28","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","79"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1997-03-01","1997-03-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","66"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1997-04-01","1997-04-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","96"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1997-05-01","1997-05-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","152"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1997-06-01","1997-06-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","213"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1997-07-01","1997-07-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","301"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1997-08-01","1997-08-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","252"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1997-09-01","1997-09-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","170"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1997-10-01","1997-10-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","153"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1997-11-01","1997-11-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","73"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1997-12-01","1997-12-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","111"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1998-01-01","1998-01-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","68"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1998-02-01","1998-02-28","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","85"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1998-03-01","1998-03-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","93"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1998-04-01","1998-04-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","77"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1998-05-01","1998-05-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","59"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1998-06-01","1998-06-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","104"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1998-07-01","1998-07-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","110"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1998-08-01","1998-08-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","119"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1998-09-01","1998-09-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","173"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1998-10-01","1998-10-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","276"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1998-11-01","1998-11-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","263"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1998-12-01","1998-12-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","168"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1999-01-01","1999-01-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","101"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1999-02-01","1999-02-28","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","106"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1999-03-01","1999-03-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","72"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1999-04-01","1999-04-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","46"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1999-05-01","1999-05-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","49"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1999-06-01","1999-06-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","59"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1999-07-01","1999-07-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","53"
